verse_id,doc_id,match,tokens,tfidf,proportion,runs_pval
Luke 3:13 (KJV),sn85033386/1873-06-27/ed-1/seq-1/,noise,3,0.46176323325218166,0.05,4.705764500725246e-10
2 Timothy 2:15 (KJV),sn83035565/1913-01-16/ed-1/seq-4/,quotation,59,5.323242852579368,0.49166666666666664,2.5135891365016717e-40
Judges 7:6 (KJV),sn84026707/1866-08-02/ed-1/seq-1/,noise,5,0.3031328506574377,0.02976190476190476,0.06282994265423471
Isaiah 66:2 (KJV),sn83025010/1900-04-05/ed-1/seq-2/,noise,5,0.224198920534601,0.023148148148148147,9.33128144659133e-6
Luke 12:27 (KJV),sn85033964/1874-08-13/ed-1/seq-4/,quotation,29,1.8201538234346066,0.1858974358974359,8.6048620728071915e-16
Revelation 10:10 (KJV),sn97067613/1889-02-07/ed-1/seq-4/,quotation,42,3.164562573186323,0.29166666666666663,6.039330516544717e-18
Exodus 20:8 (KJV),sn85026241/1894-03-08/ed-1/seq-4/,quotation,5,3.6894445534950457,0.38461538461538464,1.6374642680930734e-18
Genesis 15:9 (KJV),sn84026688/1903-01-29/ed-1/seq-1/,quotation,271,14.11075993020499,1.4114583333333333,1.2218503007098158e-35
Deuteronomy 13:5 (KJV),sn84025890/1883-03-03/ed-1/seq-2/,noise,23,0.4208417923825022,0.05043859649122807,0.002337382393921205
Luke 13:30 (KJV),sn88064176/1899-12-30/ed-1/seq-2/,noise,2,0.35405196753878415,0.03333333333333333,0.12223786660794234
Matthew 25:23 (KJV),sn85033637/1878-11-26/ed-1/seq-1/,quotation,185,6.768000107062459,0.6702898550724637,1.1763106747617084e-28
Psalm 107:3 (KJV),sn91068402/1911-01-05/ed-1/seq-4/,noise,5,0.9325104370040995,0.10416666666666666,8.817265497018125e-18
Mark 2:17 (KJV),sn83032195/1874-02-04/ed-1/seq-1/,quotation,24,1.4363820735929138,0.14285714285714285,2.9047724750785707e-5
Psalm 147:13 (KJV),sn86061215/1912-11-30/ed-1/seq-8/,quotation,25,3.01080310014998,0.2976190476190476,4.27425845697727e-41
Jeremiah 8:20 (KJV),sn84026497/1889-01-30/ed-1/seq-3/,quotation,36,10.240264490611171,1,1.3731468772636768e-31
Acts 19:7 (KJV),sn84022770/1899-03-31/ed-1/seq-4/,noise,1,1.5251653505219067,0.2,0.0028795007076523765
Proverbs 17:1 (KJV),sn83032195/1874-01-28/ed-1/seq-2/,quotation,5,0.719579941909064,0.06944444444444445,5.609264963746892e-13
Mark 3:25 (KJV),sn85033781/1895-02-15/ed-1/seq-6/,quotation,13,2.7089985992648256,0.2708333333333333,9.296685978451669e-26
Romans 10:14 (KJV),sn84026925/1892-01-13/ed-1/seq-2/,quotation,96,4.446270643525717,0.4444444444444444,2.9911763875845604e-8
Matthew 10:6 (KJV),sn83032041/1874-05-08/ed-1/seq-3/,quotation,5,2.0586038815293803,0.20833333333333331,5.925813402046709e-78
1 Samuel 23:22 (KJV),sn84023296/1878-12-18/ed-1/seq-1/,noise,5,0.3066790103869097,0.02976190476190476,3.702741786449772e-20
Exodus 20:15 (KJV),sn86061215/1912-08-08/ed-1/seq-1/,quotation,5,8.242451235699095,1,9.058761137365195e-6
